Num.Buckets, Rows.Per.Bucket, Lsh.Threshold, Shingle.Size, Num.Hashes, Precision, Recall
9, 28, 0.9, 5, 256, 0.08492920500930633, 0.688527225236086
256, 1, 0.001, 5, 256, 0.014338927407469518, 0.9895519389190275
64, 1, 0.01, 10, 64, 0.06600970821938215, 0.9437412095639943
2, 32, 0.95, 5, 64, 0.08057567771750253, 0.6407474382157926
1, 256, 0.999, 10, 256, 0.0697409798080106, 0.541852521599357
25, 5, 0.5, 10, 128, 0.07344347690583874, 0.7954591119148081
64, 4, 0.3, 10, 256, 0.06986222040717953, 0.8386779184247539
1, 166, 0.99, 5, 256, 0.07076897679553451, 0.5512557765722322
1, 64, 0.99, 10, 64, 0.0743628039954604, 0.5832228249949769
64, 1, 0.001, 10, 64, 0.06600970821938215, 0.9437412095639943
25, 5, 0.5, 5, 128, 0.08572077802191559, 0.8489250552541692
1, 64, 0.9999, 5, 64, 0.07448674644493328, 0.5844283705043198
1, 256, 0.999, 5, 256, 0.06959769490613571, 0.5406469760900141
1, 128, 0.9999, 10, 128, 0.07180333864790168, 0.5601165360659032
1, 64, 0.9999, 7, 64, 0.07448081174478506, 0.5841872614024513
166, 1, 0.01, 5, 256, 0.017543371777086838, 0.9886879646373318
14, 9, 0.7, 7, 128, 0.08349454323860174, 0.7570624874422343
8, 8, 0.7, 5, 64, 0.08543305514515034, 0.7737793851717902
21, 3, 0.3, 7, 64, 0.07924540798304486, 0.8654611211573237
15, 1, 0.1, 7, 64, 0.07646730852694529, 0.945187864175206
64, 1, 0.01, 5, 64, 0.02966697751829126, 0.9856339160136629
117, 2, 0.1, 5, 256, 0.08574522208498334, 0.9610407876230661
15, 1, 0.1, 10, 64, 0.06848303581170864, 0.9205746433594535
14, 4, 0.5, 7, 64, 0.07996893956643839, 0.8256178420735383
1, 128, 0.9999, 5, 128, 0.07161306438197068, 0.5587502511553144
14, 9, 0.7, 10, 128, 0.07997978131434585, 0.7343982318665863
64, 1, 0.001, 7, 64, 0.0685867076275405, 0.9689371107092626
256, 1, 0.001, 10, 256, 0.05570777970355993, 0.9538476994173196
64, 2, 0.1, 5, 128, 0.08635437213558853, 0.9517580872011252
128, 1, 0.01, 7, 128, 0.061330662549207805, 0.9744625276270846
21, 3, 0.3, 10, 64, 0.07044163212238386, 0.8382157926461724
128, 1, 0.001, 7, 128, 0.061330662549207805, 0.9744625276270846
42, 6, 0.5, 7, 256, 0.08182716604866604, 0.8185051235684148
1, 128, 0.99, 7, 128, 0.07183747466657739, 0.5604982921438617
5, 51, 0.95, 5, 256, 0.08103392552342668, 0.644826200522403
128, 1, 0.001, 10, 128, 0.06138112730299335, 0.9498091219610207
3, 21, 0.9, 7, 64, 0.07755234143950392, 0.6643962226240707
8, 8, 0.7, 10, 64, 0.07990725817105715, 0.7291742013261001
1, 64, 0.99, 5, 64, 0.07448674644493328, 0.5844283705043198
128, 1, 0.001, 5, 128, 0.020028218508165246, 0.9882660237090617
14, 4, 0.5, 5, 64, 0.08509393551437633, 0.8533654812135825
1, 64, 0.99, 7, 64, 0.07448081174478506, 0.5841872614024513
1, 128, 0.9999, 7, 128, 0.07183747466657739, 0.5604982921438617
5, 25, 0.9, 5, 128, 0.08477629691817959, 0.6817158931082982
21, 3, 0.3, 5, 64, 0.08571500263468246, 0.8922644163150493
37, 3, 0.3, 5, 128, 0.08606292440795031, 0.9068113321277879
1, 256, 0.9999, 10, 256, 0.0697409798080106, 0.541852521599357
9, 28, 0.9, 10, 256, 0.08061647170508401, 0.6620253164556962
117, 2, 0.1, 10, 256, 0.0691138943164953, 0.910407876230661
1, 166, 0.99, 7, 256, 0.07100005674227144, 0.5531042796865582
37, 3, 0.3, 7, 128, 0.07948805287607894, 0.8814948764315853
15, 1, 0.1, 5, 64, 0.058732758767563724, 0.9697006228651798
3, 42, 0.95, 7, 128, 0.08004466195910039, 0.6352220212979707
2, 32, 0.95, 10, 64, 0.07948562607256292, 0.6300381756077958
128, 1, 0.01, 10, 128, 0.06138112730299335, 0.9498091219610207
25, 5, 0.5, 7, 128, 0.08040728061233508, 0.8225437010247136
1, 256, 0.999, 7, 256, 0.06979209764170459, 0.5422945549527828
1, 64, 0.999, 7, 64, 0.07448081174478506, 0.5841872614024513
3, 42, 0.95, 10, 128, 0.07965792815375998, 0.6314647377938517
1, 128, 0.99, 10, 128, 0.07180333864790168, 0.5601165360659032
166, 1, 0.01, 7, 256, 0.05885573700193937, 0.9762306610407876
25, 10, 0.7, 7, 256, 0.08323458675654799, 0.7621257785814748
1, 64, 0.999, 5, 64, 0.07448674644493328, 0.5844283705043198
1, 128, 0.999, 10, 128, 0.07180333864790168, 0.5601165360659032
166, 1, 0.01, 10, 256, 0.05967788885010528, 0.951557162949568
3, 21, 0.9, 5, 64, 0.07868758955850143, 0.676351215591722
64, 1, 0.001, 5, 64, 0.02966697751829126, 0.9856339160136629
64, 4, 0.3, 5, 256, 0.0859198462879665, 0.8930882057464335
9, 28, 0.9, 7, 256, 0.08331780935561832, 0.6739803094233474
37, 3, 0.3, 10, 128, 0.07009374354738798, 0.8525818766325095
64, 1, 0.01, 7, 64, 0.0685867076275405, 0.9689371107092626
14, 9, 0.7, 5, 128, 0.08570369602290903, 0.7805304400241109
3, 42, 0.95, 5, 128, 0.08070519445406053, 0.6417319670484227
1, 128, 0.999, 7, 128, 0.07183747466657739, 0.5604982921438617
64, 2, 0.1, 7, 128, 0.07872955093249458, 0.9253767329716697
5, 25, 0.9, 7, 128, 0.08336657559541281, 0.6676511954992967
5, 51, 0.95, 10, 256, 0.08005257652848022, 0.6351014667470364
64, 4, 0.3, 7, 256, 0.07875807867594585, 0.8670082378943138
8, 8, 0.7, 7, 64, 0.08329782273555797, 0.7501707856138236
256, 1, 0.001, 7, 256, 0.05428138818707478, 0.9781796262808921
3, 21, 0.9, 10, 64, 0.07664288502509065, 0.6548724131002612
42, 6, 0.5, 10, 256, 0.07651475793254683, 0.7900944343982319
128, 1, 0.01, 5, 128, 0.020028218508165246, 0.9882660237090617
1, 64, 0.999, 10, 64, 0.0743628039954604, 0.5832228249949769
1, 128, 0.999, 5, 128, 0.07161306438197068, 0.5587502511553144
1, 128, 0.99, 5, 128, 0.07161306438197068, 0.5587502511553144
117, 2, 0.1, 7, 256, 0.07867041255481066, 0.9351014667470363
42, 6, 0.5, 5, 256, 0.08577218847962383, 0.8444243520192888
25, 10, 0.7, 5, 256, 0.08547684483263351, 0.7861362266425558
5, 25, 0.9, 10, 128, 0.08231788646121169, 0.65722322684348
1, 166, 0.99, 10, 256, 0.07100710793482888, 0.5529837251356239
25, 10, 0.7, 10, 256, 0.07977812555544476, 0.7395017078561382
14, 4, 0.5, 10, 64, 0.0729924197288701, 0.8000200924251557
1, 256, 0.9999, 5, 256, 0.06959769490613571, 0.5406469760900141
5, 51, 0.95, 7, 256, 0.08032495313175984, 0.6379144062688367
64, 2, 0.1, 10, 128, 0.06893773648435686, 0.9009041591320073
1, 256, 0.9999, 7, 256, 0.06979209764170459, 0.5422945549527828
1, 64, 0.9999, 10, 64, 0.0743628039954604, 0.5832228249949769
2, 32, 0.95, 7, 64, 0.08004778670122428, 0.6354430379746835
